Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,Night of the Cherry Blossom: Japanese Cultural variety show,,29/11/1966,20:00,National Theatre,,,103.844164,,Folk dance; Minyo; Nihon Buyo,Others,Japanese cultural performance troupe led by Hanayagi Hiroyuki,,Embassy of Japan in Singapore; National Theatre Trust; Ministry of Foreign Affairs (MFA),,,,,,
,Kirino Yoshifumi electric organ solo concert,桐野義文,20/11/1966,15:30,Cultural Centre (Fort Canning),,1.295369,103.84667,,Classical music; Contemporary music,Concert,Kirino Yoshifumi,桐野義文,"Yamaha Music (Asia) Pte. Ltd.; The Music Society, Singapore (SGMUSO);  ",,Yamaha Music (Asia) Pte. Ltd.,,,,
,Paul Makanowitzky violin solo concert,,29/4/1967,20:45,Victoria Theatre & Concert Hall,,1.28834,103.851652,,Classical music,Concert,Tokumaru Sachiko,徳丸聡子,,,,,,,
,Kirino Yoshifumi electric organ solo concert,,27/5/1967,20:00,Singapore Conference Hall,,1.276165,103.84903,,Classical music; Folk music; Contemporary music; Jazz,Concert,Kirino Yoshifumi,桐野義文,Yamaha Music (Asia) Pte. Ltd.,,,,,,
,Kirino Yoshifumi electric organ charity solo concert,,4/6/1967,20:30,Bukit Club House,,1.341669,103.810929,,Classical music; Folk music; Contemporary music; Jazz,Concert,Kirino Yoshifumi,桐野義文,Singapore Association for the Blind (renamed Singapore Association of the Visually Handicapped in 1987),,,,,,
,Night of the Cherry Blossom: Variety show by Takarazuka Revue,,9/5/1968,,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance,Others,Takarazuka Revue,,Japan Airlines (JAL); National Theatre Trust,,,,,,
,Japanese folk dance performance,,1/5/1970,Evening,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japanese Folklore Dance Company,,National Theatre Trust,,,,,,
,Japanese folk dance performance,,2/5/1970,Evening,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japanese Folklore Dance Company,,National Theatre Trust,,,,,,
,Japanese folk dance performance,,3/5/1970,Evening,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japanese Folklore Dance Company,,National Theatre Trust,,,,,,
,Traditional Japanese dance performed by the Japan Traditional Dance Troupe,,1/7/1970,20:30,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japan Traditional Dance Troupe,日本民族舞踊団; 日本民族舞蹈团 (CH)　,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Traditional Japanese dance performed by the Japan Traditional Dance Troupe,,2/7/1970,20:30,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japan Traditional Dance Troupe,日本民族舞踊団; 日本民族舞蹈团 (CH)　,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Traditional Japanese dance performed by the Japan Traditional Dance Troupe,,3/7/1970,18:30,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japan Traditional Dance Troupe,日本民族舞踊団; 日本民族舞蹈团 (CH)　,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Okamura Takao solo concert,,30/10/1970,20:45,Singapore Conference Hall,,1.276165,103.84903,,Choir,Concert,Okakura Takao,岡村隆夫,Singapore Musical Society,,,,,,
,"Violin recital by Yanagita Masako, accompanied by Lee Kum Sing on the piano",,22/1/1971,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Masako Yanagita,,Singapore Musical Society,,,,,,
,Traditional Japanese music recital,,7/12/1971,19:00-22:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Variety show performance by Shōchiku Revue,,8/12/1971,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Contemporary dance; Contemporary music,Others,Shōchiku Revue,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Traditional Japanese music recital,,8/12/1971,19:00-22:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Variety show performance by Shōchiku Revue,,9/12/1971,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Contemporary dance; Contemporary music,Others,Shōchiku Revue,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Variety show performance by Shōchiku Revue,,10/12/1971,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Contemporary dance; Contemporary music,Others,Shōchiku Revue,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Ballet performance by Memorial Tokyo Ballet Company,,31/10/1972,20:30,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tchaikovsky Memorial Tokyo Ballet Company,,National Theatre Trust; Embassy of Japan in Singapore; National Theatre Trust,,,,Sanyo of Singapore; Japan Airlines (JAL),,
,Ballet performance by Memorial Tokyo Ballet Company,,1/11/1972,20:30,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tchaikovsky Memorial Tokyo Ballet Company,,National Theatre Trust; Embassy of Japan in Singapore; National Theatre Trust,,,,Sanyo of Singapore; Japan Airlines (JAL),,
,Ballet performance by Memorial Tokyo Ballet Company,,2/11/1972,20:30,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tchaikovsky Memorial Tokyo Ballet Company,,National Theatre Trust; Embassy of Japan in Singapore; National Theatre Trust,,,,Sanyo of Singapore; Japan Airlines (JAL),,
,Violin recital by Kobayashi Takeshi,,4/12/1972,Evening,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Contemporary music,Concert,Kobayashi Takeshi,,Embassy of Japan in Singapore,,,,,,
,Dance performance by Folklorico Dancers,,9/4/1973,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Minyo,Dance,Folklorico Dancers,,,,,,,,
,Violin recital by Kobayashi Takeshi,,3/7/1973,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Contemporary music,Concert,Takeshi Kobayashi,,"Singapore Musical Society; Young Musicians' Society (YMS); The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Classical music performance by Tokyo Philharmonic Orchestra,,12/9/1973,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tokyo Philharmonic Orchestra,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Classical music performance by Tokyo Philharmonic Orchestra,,13/9/1973,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tokyo Philharmonic Orchestra,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Variety show performance by Takarazuka Revue,,8/12/1973,20:30,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance; Contemporary music,Others,Takarazuka Revue,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,,,,,
,Variety show performance by Takarazuka Revue,,9/12/1973,20:30,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance; Contemporary music,Others,Takarazuka Revue,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,,,,,
,Variety show performance by Takarazuka Revue,,10/12/1973,20:30,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance; Contemporary music,Others,Takarazuka Revue,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,,,,,
,Taiko performance in by Osuwa Daiko in Guyue Yingchun (鼓乐迎春) Chinese New Year variety show,,25/1/1974,20:30,National Theatre,,1.292954,103.844164,,Traditional music,Concert,Osuwa Daiko,御諏訪太鼓,National Theatre Trust,,,,,,
,Taiko performance in by Osuwa Daiko in Guyue Yingchun (鼓乐迎春) Chinese New Year variety show,,26/1/1974,20:30,National Theatre,,1.292954,103.844164,,Traditional music,Concert,Osuwa Daiko,御諏訪太鼓,National Theatre Trust,,,,,,
,Ballet performance by Tokyo Ballet Piccolo,,10/8/1974,Evening,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Ballet performance by Tokyo Ballet Piccolo,,11/8/1974,Evening,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Kobayashi Takeshi - Violin Recital,,23/11/1974,Evening,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Contemporary music,Concert,Kobayashi Takeshi,,National Theatre Trust,,,,,,
,Brass band performance by Tenri High School Brass Band (Outdoor performance),,6/7/1975,Evening,Chinese Garden,"1 Chinese Garden Road, Singapore 619795",1.33627,103.73096,,Contemporary music,Concert,Tenri High School Brass Band,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Brass band performance by Tenri High School Brass Band,,7/7/1975,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tenri High School Brass Band,,National Theatre Trust,,,,,,
,Brass band performance by Tenri High School Brass Band,,7/7/1975,19:30,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tenri High School Brass Band,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Traditional Japanese music performance by Shinichi Yuize Ensemble,,11/8/1975,20:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,Shinichi Yuize Ensemble,,National Theatre Trust; Embassy of Japan in Singapore; Asian Composers League (ACL),,,,,,
,Tokyo Tokk Ensemble,,25/11/1975,20:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Contemporary music; Contemporary dance; Traditional music,Concert,Tokyo Tokk Ensemble,,National Theatre Trust,,,,,,
,Tokyo Tokk Ensemble,,26/11/1975,20:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Contemporary music; Contemporary dance; Traditional music,Concert,Tokyo Tokk Ensemble,,National Theatre Trust,,,,,,
,Suzuron Festival,,1/7/1976,Evening,"Shangri-La Hotel, Singapore, Island Ballroom","22 Orange Grove Road, Singapore 258350",1.311224,103.826788,,Nihon Buyo; Folk dance; Contemporary music,Others,Hanayagi Dance Academy; Mayuzumi Jun (singer),,"Shangri-La Hotel, Singapore; Cathay Pacific Airways",,,,,,
,Suzuron Festival,,2/7/1976,Evening,"Shangri-La Hotel, Singapore, Island Ballroom","22 Orange Grove Road, Singapore 258350",1.311224,103.826788,,Nihon Buyo; Folk dance; Contemporary music,Others,Hanayagi Dance Academy; Jun Mayuzumi (singer),,"Shangri-La Hotel, Singapore; Cathay Pacific Airways",,,,,,
,Suzuron Festival,,3/7/1976,Evening,"Shangri-La Hotel, Singapore, Island Ballroom","22 Orange Grove Road, Singapore 258350",1.311224,103.826788,,Nihon Buyo; Folk dance; Contemporary music,Others,Hanayagi Dance Academy; Mayuzumi Jun (singer),,"Shangri-La Hotel, Singapore; Cathay Pacific Airways",,,,,,
,Tokyo Ballet Piccolo,,7/8/1976,20:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Tokyo Ballet Piccolo,,8/8/1976,20:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Puppet show by Hoppy Puppet Theatre,,29/8/1976,All-day,Red Cross House,"15 Penang Lane, Red Cross House, Singapore 238486",1.29727,103.84449,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,29/8/1976,All-day,Cultural Centre (Fort Canning),"40 Canning Rise, Singapore",1.29521,103.84677,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Daito Bunka University Band,,4/9/1976,20:30,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Daito Bunka University Band,,Cathay Pacific Airways; National Theatre Trust,,,,,,
,6th Japanese Cultural Festival: Nihon Buyo and Koto performance,,13/9/1976,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Traditional music,Others,Japan Cultural Goodwill Mission (under World Cultural Centre of Japan),,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Nihon Buyo performance,,11/3/1977,20:00,Hotel Equatorial,"151 Stevens Road, Singapore",1.3203,103.8248,,Nihon Buyo; Contemporary dance,Dance,Japanese Dance and Cultural Group,日本舞蹈文化使节团 (from Chinese newspaper),ABC Travel Agency,,,,,,
,Japanese Culture Night,,15/3/1977,20:00,National Theatre,,1.292954,103.844164,,Traditional music; Contemporary music; Nihon Buyo,Others,Japanese Cultural Goodwill Mission (Music); Hanayagi Kakujiro (Hanayagi School of Dancing); Kurahashi Fumiko (Sado),,,,,,,,
,Puppet show by Hoppy Puppet Theatre,,25/8/1977,Evening,National Theatre,,1.292954,103.844164,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,26/8/1977,Daytime,The Japanese School Singapore,"95 Clementi Road, Singapore",1.30052,103.76884,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,27/8/1977,All-day,Chong Hock Girls' School,"156 Kreta Ayer Street, Singapore",1.28073,103.84748,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,27/8/1977,All-day,Children's Convalescent Home of Sembawang,"420 Keramat Road, Singapore",1.45244,103.78876,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,The Matsumoto Ballet Company from Japan,,2/9/1977,20:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Matsumoto Ballet Company,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust",,,,,,
,Nihon Buyo performance by Shosen Fujiogi Dance Troupe,,4/9/1977,10:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Matsumoto Michiko Ballet Company (Japan); National Theatre Trust Ballet Group (Singapore),,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Nihon Buyo performance by Shosen Fujiogi Dance Troupe,,11/9/1977,20:00,National Theatre,,1.292954,103.844164,,Nihon Buyo,Dance,Shosen Fujiogi Dance Troupe,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Guitar Serenade by Nakabayashi Atsumasa,,7/10/1977,Evening,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Contemporary music,Concert,Atsumasa Nakabayashi,,,,,,,,
,Electone Fantasy by Saito Hidemi jointly presented with Yamaha Music School,,7/12/1977,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Hidemi Saito; Yamaha Music School students,,National Theatre Trust; Yamaha,,,,,,
,Jazz of Japan,,21/1/1978,20:30,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Jazz,Concert,Nobuo Hara and his Sharps & Flats,,National Theatre Trust; The Japan Foundation; Embassy of Japan in Singapore,,,,,,
,Jazz of Japan,,22/1/1978,20:30,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Jazz,Concert,Nobuo Hara and his Sharps & Flats,,National Theatre Trust; The Japan Foundation; Embassy of Japan in Singapore,,,,,,
,Quartet Vocal of Japan by the Duke Aces,,24/6/1978,20:30,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Jazz,Concert,The Duke Aces; Kataoka Yasuhiko,,National Theatre Trust,,,,,,
,Quartet Vocal of Japan by the Duke Aces,,25/6/1978,20:30,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Jazz,Concert,The Duke Aces; Kataoka Yasuhiko,,National Theatre Trust,,,,,,
,Choral concert by Kwansei Gakuin Glee Club,,29/7/1978,19:30,"Public Utilities Board (PUB), Auditorium","111 Somerset Road, Singapore 238164",1.3002,103.83731,,Choir; Contemporary music,Concert,Kwansei Gakuin Glee Club,,National University of Singapore (NUS),,,,,,
,Choral concert by Kwansei Gakuin Glee Club,,29/7/1978,13:00,National University of Singapore (NUS),"Bukit Timah, Singapore",1.3189081,103.817132,,Choir; Contemporary music,Concert,Kwansei Gakuin Glee Club,,National University of Singapore (NUS),,,,,,
,Choral performance by Kwansei Gakuin Glee Club,,30/7/1978,19:00,Wesley Methodist Church,"5 Fort Canning Road, Singapore 179493",1.29706,103.8475,,Choir; Contemporary music,Concert,Kwansei Gakuin Glee Club,,National University of Singapore (NUS),,,,,,
,8th Japanese Cultural Festival: Gagaku concert,,7/8/1978,Evening,"Public Utilities Board (PUB), Auditorium","111 Somerset Road, Singapore 238164",1.3002,103.83731,,Gagaku,Concert,"Gagaku Department, Tenri University",,"The Japanese Cultural Society, Singapore (JCS); Tenrikyo Association (Singapore)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,25/8/1978,Daytime,Pei Chun Public School,"16 Toa Payoh Lorong 7, Singapore 319320",1.33733,103.85563,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,,,,,,,
,8th Japanese Cultural Festival Opening Night: Folk dance and song performance by Kasuga Kotobuki Folk Dance Troupe,,1/9/1978,20:00,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Others,Kasuga Kotobuki Folk Dance Troupe (Kyushu),,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,,,
,Performance by Hayashi Sumiko Sorinkai (Tokyo),,11/9/1978,20:30,Victoria Theatre & Concert Hall,,1.288367,103.851667,,Traditional music,Others,Hayashi Sumiko Sorinkai troupe (Tokyo),,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,,,
,Classical music performance by Amadeus Chamber Orchestra (Tokyo),,20/3/1979,20:30,Singapore Conference Hall,,1.276115,103.849038,,Contemporary music,Concert,Amadeus Chamber Orchestra (Tokyo),,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust",,,,,,
,Classical music performance by Kwansei Gakuin University Symphonic Band,,29/7/1979,20:30,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Kwansei Gakuin University Symphonic Band,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Folk dance and singing performance by Shizuoka Folk Dance group,,10/8/1979,Evening,"Plaza Singapura, Concourse",,1.300748,103.845048,,Minyo; Folk dance,Others,Shizuoka Folk Dance group,,Tigress Pte Ltd Singapore,,,,,,
,Folk dance and choral performance by Shizuoka Folk Dance group,,10/8/1979,Evening,Plaza Singapura,,1.300748,103.845048,,Minyo; Folk dance,Others,Shizuoka Folk Dance group,,Tigress Pte Ltd Singapore,,,,,,
,Folk dance and choral performance by Shizuoka Folk Dance group,,11/8/1979,15:00,Mitsukoshi Garden,,1.300748,103.845048,,Minyo; Folk dance,Others,Shizuoka Folk Dance group,,Tigress Pte Ltd Singapore,,,,,,
